,Site,mois,Année,Date,E.coli ,E.coli_qualite,°C,ppt,%,pH
3377,B1,12,2003,12/10/2003,21,Bonne,15.61,37.85,102,8.13
3378,B2,12,2003,12/10/2003,21,Bonne,15.35,37.87,102.2,8.1
3379,B3,12,2003,12/10/2003,0,Bonne,15.45,37.9,103.2,8.13
3381,B4,12,2003,12/10/2003,0,Bonne,15.57,37.85,103.2,8.14
3382,B5,12,2003,12/10/2003,0,Bonne,15.36,37.88,104.4,8.12
3383,B6,12,2003,12/10/2003,0,Bonne,15.41,37.88,101.5,8.3
3393,B1,2,2004,2/2/2004,21,Bonne,13.35,38.13,101.1,8.11
3394,B2,2,2004,2/2/2004,10,Bonne,13.32,38.12,99,8.11
3395,B3,2,2004,2/2/2004,0,Bonne,13.27,38.11,102.3,8.11
3397,B4,2,2004,2/2/2004,0,Bonne,13.31,38.11,101.9,8.11
3398,B5,2,2004,2/2/2004,43,Bonne,13.24,38.09,101.7,8.1
3399,B6,2,2004,2/2/2004,0,Bonne,13.23,38.1,101.1,8.1
3409,B1,2,2004,2/25/2004,10,Bonne,12.65,38.33,107.8,8.05
3410,B2,2,2004,2/25/2004,10,Bonne,11.95,38.98,112.6,8.01
3411,B3,2,2004,2/25/2004,0,Bonne,12.67,38.12,106.3,7.97
3413,B4,2,2004,2/25/2004,0,Bonne,12.92,37.91,107.8,8.05
3414,B5,2,2004,2/25/2004,0,Bonne,12.06,38.85,110.9,7.93
3415,B6,2,2004,2/25/2004,0,Bonne,12.32,38.39,112.8,8
3425,B1,3,2004,3/15/2004,10,Bonne,12.93,38.17,107.4,8.02
3426,B2,3,2004,3/15/2004,0,Bonne,12.94,38.16,106.8,8.03
3427,B3,3,2004,3/15/2004,0,Bonne,12.98,38.14,100.5,7.98
3429,B4,3,2004,3/15/2004,0,Bonne,12.93,37.99,106.3,8.02
3430,B5,3,2004,3/15/2004,0,Bonne,12.95,38.15,107.2,8.02
3431,B6,3,2004,3/15/2004,0,Bonne,13.03,38.17,106.7,8.02
3441,B1,4,2004,4/19/2004,0,Bonne,13.76,37.88,103.5,8.01
3442,B2,4,2004,4/19/2004,21,Bonne,13.83,37.9,101.7,7.98
3443,B3,4,2004,4/19/2004,10,Bonne,13.76,37.89,101.9,7.98
3445,B4,4,2004,4/19/2004,0,Bonne,13.7,37.82,103.7,7.99
3446,B5,4,2004,4/19/2004,0,Bonne,13.77,37.91,101,7.98
3447,B6,4,2004,4/19/2004,10,Bonne,13.71,37.85,104,7.99
3457,B1,5,2004,5/5/2004,0,Bonne,14.93,37.77,104.2,8.03
3458,B2,5,2004,5/5/2004,10,Bonne,15.21,37.77,100.5,8.04
3459,B3,5,2004,5/5/2004,0,Bonne,14.99,37.69,101.8,8.04
3461,B4,5,2004,5/5/2004,0,Bonne,14.91,37.73,103.6,8.03
3462,B5,5,2004,5/5/2004,10,Bonne,15.07,37.73,101.6,8.02
3463,B6,5,2004,5/5/2004,0,Bonne,15.11,37.56,100.5,8.01
3473,B1,5,2004,5/10/2004,0,Bonne,16.28,37.13,105.7,8.13
3474,B2,5,2004,5/10/2004,0,Bonne,16.26,37.64,99.8,8.08
3475,B3,5,2004,5/10/2004,0,Bonne,16.11,37.69,101.8,8.11
3477,B4,5,2004,5/10/2004,0,Bonne,16.15,37.66,103.8,8.14
3478,B5,5,2004,5/10/2004,0,Bonne,16.06,37.69,97.4,8.11
3479,B6,5,2004,5/10/2004,0,Bonne,16.08,37.68,100.7,8.11
3489,B1,5,2004,5/17/2004,0,Bonne,17.1,37.29,102.2,8.09
3490,B2,5,2004,5/17/2004,10,Bonne,17.4,37.28,103.9,8.1
3491,B3,5,2004,5/17/2004,0,Bonne,17.14,37.3,99,8.08
3493,B4,5,2004,5/17/2004,10,Bonne,17.02,37.34,106.6,8.12
3494,B5,5,2004,5/17/2004,0,Bonne,17.2,37.28,106.2,8.11
3495,B6,5,2004,5/17/2004,0,Bonne,17.14,37.31,102.3,8.1
3505,B1,5,2004,5/25/2004,0,Bonne,17.54,37.26,92.1,7.99
3506,B2,5,2004,5/25/2004,0,Bonne,18.1466666666667,37.27,83.5666666666667,7.94
3507,B3,5,2004,5/25/2004,0,Bonne,17.72,37.09,96.8,8
3509,B4,5,2004,5/25/2004,0,Bonne,17.505,37.245,96.2,8.005
3510,B5,5,2004,5/25/2004,0,Bonne,17.76,37.36,91.4,7.97
3511,B6,5,2004,5/25/2004,0,Bonne,17.58,37.44,92.3,8
3521,B1,6,2004,6/1/2004,21,Bonne,19.17,37.41,93.3,7.97
3522,B2,6,2004,6/1/2004,0,Bonne,19.24,37.44,75.2,7.91
3523,B3,6,2004,6/1/2004,10,Bonne,19.22,37.43,90,7.96
3525,B4,6,2004,6/1/2004,10,Bonne,19.14,37.4,95.1,7.98
3526,B5,6,2004,6/1/2004,0,Bonne,19.26,37.44,85.3,7.94
3527,B6,6,2004,6/1/2004,0,Bonne,19.18,37.27,96.3,7.99
3537,B1,6,2004,6/7/2004,10,Bonne,20.42,37.67,99.5,7.99
3538,B2,6,2004,6/7/2004,0,Bonne,20.41,37.68,78.9,7.91
3539,B3,6,2004,6/7/2004,0,Bonne,20.45,37.62,98.8,7.98
3541,B4,6,2004,6/7/2004,0,Bonne,20.46,37.62,96.3,7.96
3542,B5,6,2004,6/7/2004,0,Bonne,20.37,37.69,91.2,7.95
3543,B6,6,2004,6/7/2004,0,Bonne,20.41,37.68,92.5,7.97
3553,B1,6,2004,6/15/2004,65,Bonne,19.81,37.81,100.0518,8.05
3554,B2,6,2004,6/15/2004,0,Bonne,19.92,37.95,96.2436,8.03
3555,B3,6,2004,6/15/2004,32,Bonne,19.89,37.85,95.3781,8.03
3557,B4,6,2004,6/15/2004,53,Bonne,19.89,37.7,102.4752,8.04
3558,B5,6,2004,6/15/2004,0,Bonne,19.82,37.96,92.9547,8.01
3559,B6,6,2004,6/15/2004,21,Bonne,20.01,37.82,95.5512,8.02
3569,B1,6,2004,6/21/2004,0,Bonne,21.19,37.94,94.4,8.02
3570,B2,6,2004,6/21/2004,0,Bonne,21.19,37.95,94.2,8.05
3571,B3,6,2004,6/21/2004,0,Bonne,21.18,37.87,98.4,8.05
3573,B4,6,2004,6/21/2004,0,Bonne,21.04,37.85,98.1,8.04
3574,B5,6,2004,6/21/2004,21,Bonne,21.07,37.97,97.4,8.06
3575,B6,6,2004,6/21/2004,0,Bonne,20.96,37.96,100.7,8.05
3585,B1,6,2004,6/28/2004,0,Bonne,23.08,37.67,99.3,8.05
3586,B2,6,2004,6/28/2004,0,Bonne,23.33,37.64,84.2,8.01
3587,B3,6,2004,6/28/2004,0,Bonne,23.06,37.69,94.6,8.03
3589,B4,6,2004,6/28/2004,10,Bonne,23.02,37.71,100.4,8.05
3590,B5,6,2004,6/28/2004,302,Moyenne,23.1,37.72,92.7,8.03
3591,B6,6,2004,6/28/2004,10,Bonne,23.07,37.73,89.1,8.01
3601,B1,7,2004,7/7/2004,0,Bonne,,,,
3602,B2,7,2004,7/7/2004,0,Bonne,,,,
3603,B3,7,2004,7/7/2004,0,Bonne,,,,
3605,B4,7,2004,7/7/2004,0,Bonne,24.47,37.9,87.4,8.02
3606,B5,7,2004,7/7/2004,0,Bonne,23.21,38.81,107.1,7.98
3607,B6,7,2004,7/7/2004,0,Bonne,,,,
3617,B1,7,2004,7/12/2004,10,Bonne,22.53,38.14,95.4,8.04
3618,B2,7,2004,7/12/2004,10,Bonne,22.68,38.1366666666667,82.7666666666667,7.97
3619,B3,7,2004,7/12/2004,10,Bonne,22.6,38.09,91.4,8.01
3621,B4,7,2004,7/12/2004,0,Bonne,22.58,38.14,94.3,8.04
3622,B5,7,2004,7/12/2004,32,Bonne,22.6,38.11,86,7.99
3623,B6,7,2004,7/12/2004,0,Bonne,22.69,38.09,80.1,7.98
3633,B1,7,2004,7/19/2004,87,Bonne,23.03,38.21,93,7.95
3634,B2,7,2004,7/19/2004,0,Bonne,23.23,38.16,92.3,7.92
3635,B3,7,2004,7/19/2004,316,Moyenne,23.14,38.18,89.9,7.91
3637,B4,7,2004,7/19/2004,0,Bonne,23.2,38.08,93.3,7.96
3638,B5,7,2004,7/19/2004,0,Bonne,23.19,38.17,97.2,7.93
3639,B6,7,2004,7/19/2004,10,Bonne,23.08,38.35,95.2,7.91
3649,B1,7,2004,7/26/2004,10,Bonne,24.47,37.95,101.5,7.99
3650,B2,7,2004,7/26/2004,0,Bonne,24.55,38.09,93.9,7.97
3651,B3,7,2004,7/26/2004,170,Moyenne,24.45,38.09,95.8,7.98
3653,B4,7,2004,7/26/2004,0,Bonne,24.37,38.06,100.6,8.01
3654,B5,7,2004,7/26/2004,0,Bonne,24.41,38.06,96.2,7.98
3655,B6,7,2004,7/26/2004,0,Bonne,24.36,38.02,94.8,7.98
3665,B1,8,2004,8/2/2004,0,Bonne,24.52,37.99,103.8,8.02
3666,B2,8,2004,8/2/2004,32,Bonne,24.3,37.86,98.6,7.98
3667,B3,8,2004,8/2/2004,10,Bonne,24.48,38.02,102.3,8.01
3669,B4,8,2004,8/2/2004,0,Bonne,24.6,38.12,104.5,8.02
3670,B5,8,2004,8/2/2004,10,Bonne,24.31,38.05,96.2,7.99
3671,B6,8,2004,8/2/2004,0,Bonne,24.27,38.09,93.5,7.98
3681,B1,8,2004,8/9/2004,0,Bonne,25.2,38.18,84.4,7.96
3682,B2,8,2004,8/9/2004,0,Bonne,25.19,38.12,73.4,7.92
3683,B3,8,2004,8/9/2004,146,Moyenne,25.22,38.13,77.6,7.94
3685,B4,8,2004,8/9/2004,32,Bonne,25.17,38.18,77,7.95
3686,B5,8,2004,8/9/2004,0,Bonne,25.28,38.13,79.5,7.94
3687,B6,8,2004,8/9/2004,0,Bonne,25.26,38.17,73.7,7.93
3697,B1,8,2004,8/17/2004,0,Bonne,24.46,38.16,91.2,8.02
3698,B2,8,2004,8/17/2004,21,Bonne,24.54,38.13,88.6,8
3699,B3,8,2004,8/17/2004,0,Bonne,24.49,38.13,88.3,8
3701,B4,8,2004,8/17/2004,0,Bonne,24.5,38.13,97.8,8.04
3702,B5,8,2004,8/17/2004,0,Bonne,24.55,38.13,90.4,8
3703,B6,8,2004,8/17/2004,0,Bonne,24.41,38.15,79,7.96
3713,B1,8,2004,8/23/2004,0,Bonne,24.75,38.33,94.1,8.04
3714,B2,8,2004,8/23/2004,0,Bonne,24.69,38.34,75.9,7.97
3715,B3,8,2004,8/23/2004,0,Bonne,24.55,38.37,72.3,7.94
3717,B4,8,2004,8/23/2004,10,Bonne,24.72,38.4,93.2,8.03
3718,B5,8,2004,8/23/2004,0,Bonne,24.71,38.37,75.8,7.96
3719,B6,8,2004,8/23/2004,0,Bonne,24.58,38.4,67,7.93
3729,B1,8,2004,8/30/2004,0,Bonne,24.28,38.22,100,7.98
3730,B2,8,2004,8/30/2004,21,Bonne,24.4,38.31,62.1,7.84
3731,B3,8,2004,8/30/2004,10,Bonne,24.32,38.11,80.2,7.9
3733,B4,8,2004,8/30/2004,21,Bonne,24.26,38.33,94.2,7.96
3734,B5,8,2004,8/30/2004,21,Bonne,24.41,38.3,72.2,7.88
3735,B6,8,2004,8/30/2004,0,Bonne,24.34,38.33,61.9,7.85
3745,B1,9,2004,9/6/2004,0,Bonne,24.18,38.35,105.2,8.04
3746,B2,9,2004,9/6/2004,10,Bonne,24.35,38.42,94.1,7.92
3747,B3,9,2004,9/6/2004,0,Bonne,24.31,38.33,97.6,7.94
3749,B4,9,2004,9/6/2004,0,Bonne,23.9,38.85,103.8,8
3750,B5,9,2004,9/6/2004,0,Bonne,23.87,38.71,103.5,7.92
3751,B6,9,2004,9/6/2004,10,Bonne,23.95,38.7,102.3,7.89
3761,B1,9,2004,9/13/2004,0,Bonne,23.83,38.49,99.2,7.95
3762,B2,9,2004,9/13/2004,21,Bonne,23.57,38.78,95.8,7.88
3763,B3,9,2004,9/13/2004,0,Bonne,23.36,38.8,103.5,7.9
3765,B4,9,2004,9/13/2004,0,Bonne,23.88,38.42,88.9,7.93
3766,B5,9,2004,9/13/2004,0,Bonne,22.98,39.11,104.3,7.89
3767,B6,9,2004,9/13/2004,0,Bonne,23.37,38.75,103.4,7.87
3777,B1,9,2004,9/20/2004,0,Bonne,23.12,38.31,100.3,7.97
3778,B2,9,2004,9/20/2004,21,Bonne,23.11,38.34,88.1,7.92
3779,B3,9,2004,9/20/2004,0,Bonne,23.06,38.31,90.7,7.94
3781,B4,9,2004,9/20/2004,0,Bonne,23.07,38.33,100.1,7.96
3782,B5,9,2004,9/20/2004,0,Bonne,23.02,38.34,83.2,7.91
3783,B6,9,2004,9/20/2004,0,Bonne,22.97,38.37,91,7.95
3793,B1,9,2004,9/27/2004,0,Bonne,22.22,38.44,98.4,7.93
3794,B2,9,2004,9/27/2004,0,Bonne,22.11,38.44,87.9,7.89
3795,B3,9,2004,9/27/2004,0,Bonne,22.08,38.43,87.6,7.89
3797,B4,9,2004,9/27/2004,0,Bonne,22.33,38.43,98.1,7.95
3798,B5,9,2004,9/27/2004,0,Bonne,22.08,38.42,91.9,7.92
3799,B6,9,2004,9/27/2004,10,Bonne,22.02,38.37,80.8,7.87
3809,B1,10,2004,10/27/2004,0,Bonne,20.12,38.38,91,7.95
3810,B2,10,2004,10/27/2004,0,Bonne,19.32,39,103.2,7.94
3811,B3,10,2004,10/27/2004,0,Bonne,20.03,38.39,88.5,7.93
3813,B4,10,2004,10/27/2004,0,Bonne,19.62,38.9,103,7.98
3814,B5,10,2004,10/27/2004,0,Bonne,20.01,38.41,87.6,7.92
3815,B6,10,2004,10/27/2004,10,Bonne,19.67,38.68,92.7,7.9
3825,B1,10,2004,11/22/2004,21,Bonne,20.12,38.38,91,7.95
3826,B2,10,2004,11/22/2004,0,Bonne,19.32,39,103.2,7.94
3827,B3,10,2004,11/22/2004,0,Bonne,20.03,38.39,88.5,7.93
3829,B4,10,2004,11/22/2004,76,Bonne,19.62,38.9,103,7.98
3830,B5,10,2004,11/22/2004,0,Bonne,20.01,38.41,87.6,7.92
3831,B6,10,2004,11/22/2004,10,Bonne,19.67,38.68,92.7,7.9
3841,B1,10,2004,12/13/2004,10,Bonne,20.12,38.38,91,7.95
3842,B2,10,2004,12/13/2004,21,Bonne,19.32,39,103.2,7.94
3843,B3,10,2004,12/13/2004,21,Bonne,20.03,38.39,88.5,7.93
3845,B4,10,2004,12/13/2004,43,Bonne,19.62,38.9,103,7.98
3846,B5,10,2004,12/13/2004,0,Bonne,20.01,38.41,87.6,7.92
3847,B6,10,2004,12/13/2004,0,Bonne,19.67,38.68,92.7,7.9
3857,B1,1,2005,1/17/2005,0,Bonne,14.21,38.14,99.3,7.94
3858,B2,1,2005,1/17/2005,0,Bonne,13.91,38.16,99.2,7.94
3859,B3,1,2005,1/17/2005,0,Bonne,13.99,38.14,96.8,7.94
3861,B4,1,2005,1/17/2005,0,Bonne,14.03,38.14,98.2,7.94
3862,B5,1,2005,1/17/2005,0,Bonne,13.51,38.05,92,7.91
3863,B6,1,2005,1/17/2005,0,Bonne,13.96,38.13,98.1,7.96
3873,B1,2,2005,2/14/2005,10,Bonne,12.87,38.3,101.8,7.81
3874,B2,2,2005,2/14/2005,21,Bonne,12.81,38.27,102.6,7.76
3875,B3,2,2005,2/14/2005,0,Bonne,12.54,38.28,99.8,7.73
3877,B4,2,2005,2/14/2005,0,Bonne,12.55,38.29,99.7,7.77
3878,B5,2,2005,2/14/2005,10,Bonne,12.51,38.27,100.9,7.75
3879,B6,2,2005,2/14/2005,10,Bonne,12.71,38.26,100.9,7.77
3889,B1,3,2005,3/21/2005,98,Bonne,13.94,37.12,106.6,8.09
3891,B3,3,2005,3/21/2005,0,Bonne,13.87,37.64,105.8,8.08
3893,B4,3,2005,3/21/2005,10,Bonne,13.69,37.76,104.9,8.11
3894,B5,3,2005,3/21/2005,0,Bonne,13.73,37.75,102.6,8.09
3895,B6,3,2005,3/21/2005,0,Bonne,13.73,37.78,99.4,8.09
3905,B1,4,2005,4/18/2005,10,Bonne,13.89,38.04,106.2,8.08
3906,B2,4,2005,4/18/2005,0,Bonne,13.92,38.11,102.5,8.08
3907,B3,4,2005,4/18/2005,10,Bonne,13.79,38.08,100.2,8.07
3909,B4,4,2005,4/18/2005,0,Bonne,13.67,38.09,100.3,8.08
3910,B5,4,2005,4/18/2005,0,Bonne,13.82,38.1,101.7,8.09
3911,B6,4,2005,4/18/2005,0,Bonne,13.71,38.12,100.5,8.08
3921,B1,5,2005,5/3/2005,146,Moyenne,17.13,37.76,107.3,7.95
3922,B2,5,2005,5/3/2005,260,Moyenne,17.29,37.8,101.2,7.93
3923,B3,5,2005,5/3/2005,10,Bonne,17.2,37.41,103.4,7.93
3925,B4,5,2005,5/3/2005,10,Bonne,17.12,37.69,107.4,7.93
3926,B5,5,2005,5/3/2005,0,Bonne,17.06,37.63,104.8,7.93
3927,B6,5,2005,5/3/2005,10,Bonne,17.02,37.72,106.6,7.93
3937,B1,5,2005,5/9/2005,0,Bonne,17.88,37.24,89.6,7.86
3938,B2,5,2005,5/9/2005,0,Bonne,18.06,37.29,86.7,7.83
3939,B3,5,2005,5/9/2005,0,Bonne,17.91,37.28,91.3,7.87
3941,B4,5,2005,5/9/2005,0,Bonne,17.88,37.33,87.2,7.85
3942,B5,5,2005,5/9/2005,0,Bonne,17.89,37.33,93.7,7.89
3943,B6,5,2005,5/9/2005,0,Bonne,17.9,37.28,92.6,7.86
3953,B1,5,2005,5/17/2005,10,Bonne,18.15,37.61,88.3,7.93
3954,B2,5,2005,5/17/2005,0,Bonne,18.2366666666667,37.6366666666667,83.2666666666667,7.92333333333333
3955,B3,5,2005,5/17/2005,0,Bonne,18.18,37.59,95.1,7.95
3957,B4,5,2005,5/17/2005,32,Bonne,18.0866666666667,37.6233333333333,102.5,7.98333333333333
3958,B5,5,2005,5/17/2005,0,Bonne,18.23,37.65,88.8,7.94
3959,B6,5,2005,5/17/2005,0,Bonne,18.195,37.5,85.9,7.93
3969,B1,5,2005,5/23/2005,0,Bonne,18.79,37.59,105.6,7.99
3970,B2,5,2005,5/23/2005,0,Bonne,18.76,37.62,101.2,7.97
3971,B3,5,2005,5/23/2005,10,Bonne,18.72,37.64,101.7,7.96
3973,B4,5,2005,5/23/2005,0,Bonne,18.76,37.59,106,7.98
3974,B5,5,2005,5/23/2005,0,Bonne,18.5,37.66,99.5,7.96
3975,B6,5,2005,5/23/2005,0,Bonne,18.6,37.62,101.8,7.95
3985,B1,5,2005,5/30/2005,0,Bonne,21.365,37.455,107.4,7.98
3986,B2,5,2005,5/30/2005,0,Bonne,21.49,37.54,103.5,7.97333333333333
3987,B3,5,2005,5/30/2005,0,Bonne,21.39,37.475,100.25,7.96
3989,B4,5,2005,5/31/2005,0,Bonne,21.45,37.5933333333333,109.766666666667,8
3990,B5,5,2005,5/30/2005,0,Bonne,21.415,37.58,104.8,7.98
3991,B6,5,2005,5/31/2005,0,Bonne,21.2966666666667,37.5866666666667,105.733333333333,7.98333333333333
4001,B1,6,2005,6/6/2005,0,Bonne,22.11,37.49,101.2,8
4002,B2,6,2005,6/6/2005,10,Bonne,22.15,37.49,91.3,7.95
4003,B3,6,2005,6/6/2005,10,Bonne,22.17,37.47,100.5,8.01
4005,B4,6,2005,6/6/2005,0,Bonne,22.11,37.54,104.4,8.05
4006,B5,6,2005,6/6/2005,10,Bonne,22.17,37.49,102.5,8.02
4007,B6,6,2005,6/6/2005,0,Bonne,22.15,37.56,100.5,8.03
4017,B1,6,2005,6/13/2005,0,Bonne,19.02,37.86,97.3,7.96
4018,B2,6,2005,6/13/2005,0,Bonne,19.27,37.8233333333333,83.7,7.90333333333333
4019,B3,6,2005,6/13/2005,10,Bonne,19.335,37.85,99.3,7.96
4021,B4,6,2005,6/13/2005,0,Bonne,18.995,37.915,96.5,7.96
4022,B5,6,2005,6/13/2005,0,Bonne,19.02,37.93,90.3,7.93
4023,B6,6,2005,6/13/2005,0,Bonne,19.14,37.81,99.5,7.97
4033,B1,6,2005,6/20/2005,0,Bonne,22.57,37.81,88.3,7.98
4034,B2,6,2005,6/20/2005,0,Bonne,22.81,37.91,73.4,7.92
4035,B3,6,2005,6/20/2005,0,Bonne,22.58,37.88,85.5,7.97
4037,B4,6,2005,6/20/2005,10,Bonne,22.79,37.88,94,8.03
4038,B5,6,2005,6/20/2005,0,Bonne,22.7,37.84,88.1,7.98
4039,B6,6,2005,6/20/2005,43,Bonne,22.73,37.84,87.5,7.98
4049,B1,6,2005,6/27/2005,21,Bonne,25.01,37.43,101.6,8.02
4050,B2,6,2005,6/27/2005,32,Bonne,25.02,37.65,79,7.94
4051,B3,6,2005,6/27/2005,0,Bonne,25.09,37.44,99.2,8.01
4053,B4,6,2005,6/27/2005,0,Bonne,25.23,37.67,102.5,8.05
4054,B5,6,2005,6/27/2005,0,Bonne,25.31,37.63,100.4,8.03
4055,B6,6,2005,6/27/2005,0,Bonne,25.33,37.61,103.6,8.04
4065,B1,7,2005,7/4/2005,21,Bonne,24.74,38.07,86.1,7.97
4066,B2,7,2005,7/4/2005,32,Bonne,24.88,38.09,75.3,7.95
4067,B3,7,2005,7/4/2005,0,Bonne,24.77,38.12,78.4,7.97
4069,B4,7,2005,7/4/2005,0,Bonne,24.57,38.16,77.7,7.99
4070,B5,7,2005,7/4/2005,0,Bonne,24.73,38.13,84.5,8
4071,B6,7,2005,7/4/2005,0,Bonne,24.73,38.13,69.3,7.94
4081,B1,7,2005,7/11/2005,0,Bonne,23.4,38.04,96.5,8.02
4082,B2,7,2005,7/11/2005,0,Bonne,23.49,38.01,72.9,7.93
4083,B3,7,2005,7/11/2005,21,Bonne,23.46,38.01,88.4,7.98
4085,B4,7,2005,7/11/2005,0,Bonne,23.29,38.06,97,8.02
4086,B5,7,2005,7/11/2005,0,Bonne,23.48,38.08,80.6,7.96
4087,B6,7,2005,7/11/2005,0,Bonne,23.45,38.06,80.3,7.96
4097,B1,7,2005,7/18/2005,10,Bonne,24.91,38,81.6,7.92
4098,B2,7,2005,7/18/2005,43,Bonne,25.05,38.06,69.4,7.85
4099,B3,7,2005,7/18/2005,146,Moyenne,24.95,38.05,75.8,7.91
4101,B4,7,2005,7/18/2005,0,Bonne,24.91,38.02,90.2,7.94
4102,B5,7,2005,7/18/2005,0,Bonne,24.87,37.99,81.7,7.94
4103,B6,7,2005,7/18/2005,0,Bonne,24.96,38.02,68.3,7.92
4113,B1,7,2005,7/25/2005,0,Bonne,25.54,37.91,98.5,8.03
4114,B2,7,2005,7/25/2005,43,Bonne,25.52,38.18,52.6,7.9
4115,B3,7,2005,7/25/2005,10,Bonne,25.5,38.16,94.6,8.01
4117,B4,7,2005,7/25/2005,0,Bonne,25.47,38.2,100.9,7.98
4118,B5,7,2005,7/25/2005,10,Bonne,25.4,38.2,76.6,8.04
4119,B6,7,2005,7/25/2005,0,Bonne,25.37,38.19,75,7.96
4129,B1,8,2005,8/1/2005,0,Bonne,26.06,38.54,96.3,8.37
4130,B2,8,2005,8/1/2005,10,Bonne,26.28,38.54,74.4,8.2
4131,B3,8,2005,8/1/2005,10,Bonne,26.1,38.58,79.4,8.34
4133,B4,8,2005,8/1/2005,0,Bonne,26.04,38.56,80,8.62
4134,B5,8,2005,8/1/2005,0,Bonne,26.13,38.54,73.6,8.36
4135,B6,8,2005,8/1/2005,21,Bonne,26.14,38.59,68.6,8.4
4145,B1,8,2005,8/8/2005,0,Bonne,24.91,38.78,86.2,8.18
4146,B2,8,2005,8/8/2005,21,Bonne,25,38.74,88.2,8.2
4147,B3,8,2005,8/8/2005,10,Bonne,24.98,38.73,78.7,8.21
4149,B4,8,2005,8/8/2005,0,Bonne,24.93,38.79,92,8.21
4150,B5,8,2005,8/8/2005,10,Bonne,24.88,38.77,86.1,8.21
4151,B6,8,2005,8/8/2005,0,Bonne,24.93,38.73,77.9,8.16
4161,B1,8,2005,8/16/2005,0,Bonne,24.46,38.63,91,8.35
4162,B2,8,2005,8/16/2005,21,Bonne,24.45,38.64,74.2,8.24
4163,B3,8,2005,8/16/2005,0,Bonne,24.5,38.63,83.5,8.29
4165,B4,8,2005,8/16/2005,0,Bonne,24.44,38.64,90.7,8.38
4166,B5,8,2005,8/16/2005,0,Bonne,24.44,38.64,78.7,8.32
4167,B6,8,2005,8/16/2005,0,Bonne,24.47,38.65,67.8,8.25
4177,B1,8,2005,8/22/2005,0,Bonne,24.15,38.57,80.2,7.37
4178,B2,8,2005,8/22/2005,32,Bonne,24.17,38.53,66.4,7.37
4179,B3,8,2005,8/22/2005,0,Bonne,24.07,38.46,76.8,7.88
4181,B4,8,2005,8/22/2005,0,Bonne,24.12,38.53,85.6,7.77
4182,B5,8,2005,8/22/2005,0,Bonne,24.02,38.48,68.2,7.71
4183,B6,8,2005,8/22/2005,0,Bonne,23.97,38.51,68.3,7.53
4193,B1,8,2005,8/29/2005,10,Bonne,24.03,38.2,87.1,8.83
4194,B2,8,2005,8/29/2005,0,Bonne,24.14,37.75,76.3,8.05
4195,B3,8,2005,8/29/2005,0,Bonne,24.16,37.78,87.6,8.22
4197,B4,8,2005,8/29/2005,0,Bonne,24.18,37.86,93.4,8.26
4198,B5,8,2005,8/29/2005,0,Bonne,24.17,37.98,78.1,8.4
4199,B6,8,2005,8/29/2005,0,Bonne,24.16,38.23,76.5,8.93
4209,B1,9,2005,9/5/2005,390,Moyenne,24.33,38.72,102,9.74
4210,B2,9,2005,9/5/2005,345,Moyenne,24.44,38.74,98.3,9.69
4211,B3,9,2005,9/5/2005,65,Bonne,24.33,38.73,97,9.72
4213,B4,9,2005,9/5/2005,0,Bonne,24.32,38.75,96.9,9.79
4214,B5,9,2005,9/5/2005,0,Bonne,24.36,38.75,95.7,9.69
4215,B6,9,2005,9/5/2005,0,Bonne,24.32,38.75,99.9,9.76
4225,B1,9,2005,9/12/2005,10,Bonne,22.79,38.3,92.3,8.41070707070707
4226,B2,9,2005,9/12/2005,10,Bonne,22.95,38.32,98.7,8.42421052631579
4227,B3,9,2005,9/12/2005,21,Bonne,22.85,38.29,98,8.4092
4229,B4,9,2005,9/12/2005,0,Bonne,22.96,38.37,100.4,8.42030303030303
4230,B5,9,2005,9/12/2005,21,Bonne,22.76,38.08,96.5,8.3975
4231,B6,9,2005,9/12/2005,0,Bonne,22.72,38.22,95.9,8.38060606060606
4241,B1,9,2005,9/19/2005,0,Bonne,22.89,38.51,89,8.43
4242,B2,9,2005,9/19/2005,0,Bonne,22.75,38.48,72.8,8.37
4243,B3,9,2005,9/19/2005,0,Bonne,22.83,38.49,87,8.4
4245,B4,9,2005,9/19/2005,0,Bonne,22.82,38.5,89.8,8.41
4246,B5,9,2005,9/19/2005,0,Bonne,22.76,38.48,84.6,8.42
4247,B6,9,2005,9/19/2005,0,Bonne,22.82,38.48,76.4,8.36
4257,B1,9,2005,9/26/2005,10,Bonne,22.52,38.4,93.6,8.59
4258,B2,9,2005,9/26/2005,21,Bonne,22.45,38.37,86.4,8.58
4259,B3,9,2005,9/26/2005,316,Moyenne,22.46,38.37,88.1,8.58
4261,B4,9,2005,9/26/2005,0,Bonne,22.49,38.4,87.3,8.58
4262,B5,9,2005,9/26/2005,10,Bonne,22.44,38.36,87.3,8.44
4263,B6,9,2005,9/26/2005,10,Bonne,22.36,38.39,84,8.55
4273,B1,10,2005,10/24/2005,10,Bonne,19.95,38.38,101.7,8.25
4274,B2,10,2005,10/24/2005,43,Bonne,19.75,38.41,85.8,8.19
4275,B3,10,2005,10/24/2005,10,Bonne,19.68,38.35,93.1,8.19
4277,B4,10,2005,10/24/2005,0,Bonne,19.84,38.48,99.5,8.24
4278,B5,10,2005,10/24/2005,0,Bonne,19.82,38.4,101.6,8.24
4279,B6,10,2005,10/24/2005,0,Bonne,19.62,38.47,98.2,8.18
