,Site,mois,Année,Date,E.coli ,E.coli_qualite,°C,ppt,%,pH
2690,B4,6,2002,6/17/2002,0,Bonne,22.2,37.37,97.4,8.18
2691,B5,6,2002,6/17/2002,0,Bonne,22.16,37.46,78.5,8.13
2692,B6,6,2002,6/17/2002,0,Bonne,22.34,37.42,85.4,8.17
2699,B1,6,2002,6/24/2002,0,Bonne,25.21,36.83,89.5,8.15
2700,B2,6,2002,6/24/2002,0,Bonne,25.15,36.87,73.7,8.1
2701,B3,6,2002,6/24/2002,32,Bonne,25.33,36.65,89.6,8.13
2702,B4,6,2002,6/24/2002,10,Bonne,25.12,36.79,94.1,8.14
2703,B5,6,2002,6/24/2002,0,Bonne,25.2,36.85,96,8.14
2704,B6,6,2002,6/24/2002,10,Bonne,25.26,36.64,94.1,8.14
2711,B1,7,2002,7/1/2002,0,Bonne,23.82,37.48,101.1,8.11
2712,B2,7,2002,7/1/2002,21,Bonne,24.09,37.62,75.2,8.04
2713,B3,7,2002,7/1/2002,10,Bonne,23.89,37.1,91.2,8.08
2714,B4,7,2002,7/1/2002,0,Bonne,23.92,37.71,101.5,8.12
2715,B5,7,2002,7/1/2002,10,Bonne,24.05,37.73,90.7,8.08
2716,B6,7,2002,7/1/2002,0,Bonne,23.99,37.77,58.7,7.96
2723,B1,7,2002,7/8/2002,10,Bonne,22.22,37.66,84.7,8.09
2724,B2,7,2002,7/8/2002,0,Bonne,22.2,37.76,60.8,8.01
2725,B3,7,2002,7/8/2002,0,Bonne,22.2,37.69,78.6,8.08
2726,B4,7,2002,7/8/2002,0,Bonne,21.96,37.78,82.3,8.07
2727,B5,7,2002,7/8/2002,0,Bonne,22.25,37.78,74.4,8.04
2728,B6,7,2002,7/8/2002,0,Bonne,22.31,37.63,76.2,8.07
2735,B1,7,2002,7/16/2002,10,Bonne,23.46,37.73,84.3,8.01
2736,B2,7,2002,7/16/2002,32,Bonne,23.4,37.72,65.1,7.9
2737,B3,7,2002,7/16/2002,32,Bonne,23.43,37.65,95.7,8
2738,B4,7,2002,7/16/2002,53,Bonne,23.41,37.66,83.3,8.02
2739,B5,7,2002,7/16/2002,10,Bonne,23.24,37.69,72.9,7.98
2740,B6,7,2002,7/16/2002,10,Bonne,23.62,37.59,74.6,7.99
2757,B1,7,2002,7/22/2002,0,Bonne,,,,
2758,B2,7,2002,7/22/2002,0,Bonne,,,,
2759,B3,7,2002,7/22/2002,0,Bonne,,,,
2760,B4,7,2002,7/22/2002,0,Bonne,,,,
2761,B5,7,2002,7/22/2002,0,Bonne,,,,
2762,B6,7,2002,7/22/2002,53,Bonne,,,,
2769,B1,7,2002,7/29/2002,0,Bonne,24.35,37.72,82.3,8.07
2770,B2,7,2002,7/29/2002,0,Bonne,24.67,37.67,54.3,7.96
2771,B3,7,2002,7/29/2002,10,Bonne,24.54,37.75,72.6,8.04
2772,B4,7,2002,7/29/2002,0,Bonne,24.31,37.66,83.7,8.09
2773,B5,7,2002,7/29/2002,0,Bonne,24.57,37.71,87,8.04
2774,B6,7,2002,7/29/2002,0,Bonne,24.39,37.6,76.6,8.04
2781,B1,8,2002,8/5/2002,0,Bonne,24.22,37.62,95,8.12
2782,B2,8,2002,8/5/2002,0,Bonne,24.35,37.75,103.7,8
2783,B3,8,2002,8/5/2002,0,Bonne,24.32,37.68,85.2,8.08
2784,B4,8,2002,8/5/2002,0,Bonne,24.37,37.57,92.6,8.11
2785,B5,8,2002,8/5/2002,43,Bonne,24.3,37.75,82.8,8.09
2786,B6,8,2002,8/5/2002,0,Bonne,24.29,37.77,84.9,8.06
2793,B1,8,2002,8/12/2002,0,Bonne,23.53,37.91,99.8,8.21
2794,B2,8,2002,8/12/2002,21,Bonne,23.66,37.94,92,8.16
2795,B3,8,2002,8/12/2002,0,Bonne,23.45,37.9,78.2,8.11
2796,B4,8,2002,8/12/2002,0,Bonne,23.52,37.93,100.3,8.22
2797,B5,8,2002,8/12/2002,10,Bonne,23.58,37.9,81.2,8.13
2798,B6,8,2002,8/12/2002,0,Bonne,23.42,37.9,75.3,8.11
2805,B1,8,2002,8/19/2002,10,Bonne,23.77,37.5,100.5,8.24
2806,B2,8,2002,8/19/2002,10,Bonne,23.77,37.64,101.6,8.21
2807,B3,8,2002,8/19/2002,21,Bonne,23.74,37.64,94.5,8.19
2808,B4,8,2002,8/19/2002,0,Bonne,23.74,37.61,103.8,8.23
2809,B5,8,2002,8/19/2002,0,Bonne,23.8,37.58,102.6,8.23
2810,B6,8,2002,8/19/2002,0,Bonne,23.66,37.65,88.4,8.2
2817,B1,8,2002,8/26/2002,345,Moyenne,24.29,37.74,92.7,8.14
2818,B2,8,2002,8/26/2002,10,Bonne,24.43,37.81,85.6,8.14
2819,B3,8,2002,8/26/2002,182,Moyenne,24.31,37.77,92.2,8.11
2820,B4,8,2002,8/26/2002,1038,Moyenne,24.3,37.71,92.1,8.14
2821,B5,8,2002,8/26/2002,421,Moyenne,24.28,37.76,90.1,8.13
2822,B6,8,2002,8/26/2002,360,Moyenne,24.35,37.71,80.1,8.09
2833,B1,9,2002,9/2/2002,0,Bonne,23.75,37.7,80.3,8.11
2834,B2,9,2002,9/2/2002,0,Bonne,23.66,37.62,100.1,8.1
2835,B3,9,2002,9/2/2002,0,Bonne,23.78,37.69,84.2,8.1
2836,B4,9,2002,9/2/2002,0,Bonne,23.75,37.69,96.8,8.15
2837,B5,9,2002,9/2/2002,0,Bonne,23.75,37.69,90.9,8.12
2838,B6,9,2002,9/2/2002,0,Bonne,23.83,37.72,86,8.14
2851,B1,9,2002,9/9/2002,10,Bonne,23.27,37.79,93.3,8.2
2852,B2,9,2002,9/9/2002,0,Bonne,23.23,37.79,82.1,8.2
2853,B3,9,2002,9/9/2002,32,Bonne,23.24,37.79,89.5,8.22
2854,B4,9,2002,9/9/2002,0,Bonne,23.31,37.81,94.2,8.24
2855,B5,9,2002,9/9/2002,0,Bonne,23.21,37.81,89.8,8.22
2856,B6,9,2002,9/9/2002,32,Bonne,23.2,37.8,98.2,8.25
2863,B1,9,2002,9/16/2002,0,Bonne,22.89,37.86,88.4,8.24
2864,B2,9,2002,9/16/2002,0,Bonne,22.84,37.79,68.4,8.16
2865,B3,9,2002,9/16/2002,10,Bonne,22.75,37.84,84.2,8.2
2866,B4,9,2002,9/16/2002,0,Bonne,22.84,37.91,92.9,8.25
2867,B5,9,2002,9/16/2002,0,Bonne,22.84,37.81,80,8.2
2868,B6,9,2002,9/16/2002,0,Bonne,22.78,37.88,76.3,8.2
2875,B1,9,2002,9/23/2002,10,Bonne,22.63,37.81,101.4,8.25
2876,B2,9,2002,9/23/2002,32,Bonne,22.43,37.83,70.2,8.14
2877,B3,9,2002,9/23/2002,247,Moyenne,22.46,37.79,86.3,8.19
2878,B4,9,2002,9/23/2002,0,Bonne,22.48,37.9,102.8,8.24
2879,B5,9,2002,9/23/2002,65,Bonne,22.5,37.85,94.6,8.17
2880,B6,9,2002,9/23/2002,0,Bonne,22.37,37.98,76.2,8.16
2887,B1,9,2002,9/30/2002,0,Bonne,21.63,38.04,104.5,8.19
2888,B2,9,2002,9/30/2002,0,Bonne,21.45,38.04,125.1,8.15
2889,B3,9,2002,9/30/2002,0,Bonne,21.45,38.06,114.5,8.16
2890,B4,9,2002,9/30/2002,0,Bonne,21.61,38.06,118.3,8.2
2891,B5,9,2002,9/30/2002,0,Bonne,21.42,38.02,124.2,8.17
2892,B6,9,2002,9/30/2002,0,Bonne,21.48,38.06,98.5,8.17
2899,B1,10,2002,10/21/2002,134,Moyenne,19.93,37.94,106.1,8.1
2900,B2,10,2002,10/21/2002,87,Bonne,19.81,37.93,98.7,8.09
2901,B3,10,2002,10/21/2002,110,Moyenne,19.66,37.92,114.7,8.08
2902,B4,10,2002,10/21/2002,234,Moyenne,19.97,37.92,117,8.1
2903,B5,10,2002,10/21/2002,98,Bonne,19.77,37.91,97.5,8.09
2904,B6,10,2002,10/21/2002,65,Bonne,19.61,37.89,93.1,8.08
2919,B1,11,2002,11/11/2002,21,Bonne,17.93,38.2,92.8,8.26
2920,B2,11,2002,11/11/2002,0,Bonne,17.71,38.23,102.3,8.2
2921,B3,11,2002,11/11/2002,10,Bonne,17.7,38.25,113.5,8.21
2922,B4,11,2002,11/11/2002,0,Bonne,17.82,38.17,109.8,8.25
2923,B5,11,2002,11/11/2002,0,Bonne,17.7,38.2,86.5,8.21
2924,B6,11,2002,11/11/2002,0,Bonne,17.8,38.18,109.6,8.23
2935,B1,12,2002,12/17/2002,0,Bonne,15.69,38.02,100.8,8.19
2936,B2,12,2002,12/17/2002,0,Bonne,15.31,38.09,92.5,8.15
2937,B3,12,2002,12/17/2002,0,Bonne,15.35,38.09,99,8.16
2938,B4,12,2002,12/17/2002,0,Bonne,15.5,38.11,101.3,8.17
2939,B5,12,2002,12/17/2002,10,Bonne,15.35,38.07,96.3,8.15
2940,B6,12,2002,12/17/2002,0,Bonne,15.43,38.09,95.4,8.16
2953,B1,1,2003,1/28/2003,0,Bonne,13.77,37.83,102.8,8.14
2954,B2,1,2003,1/28/2003,0,Bonne,13.62,37.74,98.7,8.14
2955,B3,1,2003,1/28/2003,0,Bonne,13.68,37.76,102.2,8.14
2957,B4,1,2003,1/28/2003,10,Bonne,13.72,37.75,102.4,8.15
2958,B5,1,2003,1/28/2003,0,Bonne,13.54,37.75,98.2,8.13
2959,B6,1,2003,1/28/2003,0,Bonne,13.54,37.76,98,8.12
2969,B1,3,2003,3/3/2003,0,Bonne,13.02,36.32,93.8,8.02
2970,B2,3,2003,3/3/2003,0,Bonne,13.01,36.32,97,8.02
